,Brand,Model,Variant,Manufacturing_Year,Driven_Kilometers,Fuel,Number_Of_Owners,Location,Price
4329,Maruti Suzuki,S-Cross,Alpha,2020,"9,000 Kms",Petrol,First,Delhi,10.9 Lakh
4330,Maruti Suzuki,XL6,Alpha AT Petrol,2020,"15,000 Kms",Petrol,First,Delhi,12.65 Lakh
4331,Hyundai,i20,Sportz 1.2 BS-IV,2012,"62,000 Kms",Petrol,First,Delhi,3 Lakh
4332,Hyundai,Creta,SX 1.6 CRDI,2017,"66,000 Kms",Diesel,First,Chennai,11.4 Lakh
4333,Renault,Duster,110 PS RxL Diesel,2013,"45,000 Kms",Diesel,Second,Faridabad,3.75 Lakh
4334,Tata,Nexon,XZ Plus Diesel,2017,"44,000 Kms",Diesel,First,Aurangabad,8.9 Lakh
4335,Ford,Endeavour,Titanium Plus 2.0 4x4 AT,2021,"8,000 Kms",Diesel,First,Chennai,38.5 Lakh
4336,Hyundai,Creta,SX 1.6 CRDI,2017,"66,000 Kms",Diesel,First,Chennai,11.4 Lakh
4337,Renault,Duster,110 PS RxL Diesel,2013,"45,000 Kms",Diesel,Second,Faridabad,3.75 Lakh
4338,Tata,Nexon,XZ Plus Diesel,2017,"44,000 Kms",Diesel,First,Aurangabad,8.9 Lakh
4339,Ford,Endeavour,Titanium Plus 2.0 4x4 AT,2021,"8,000 Kms",Diesel,First,Chennai,38.5 Lakh
4340,Audi,Q3,35 TDI Premium Plus,2015,"61,000 Kms",Diesel,First,Mumbai,18.75 Lakh
4341,Jaguar,F-Pace,Prestige [2016-2017],2016,"33,000 Kms",Diesel,Second,Mumbai,37.5 Lakh
4342,BMW,3-Series,320d Luxury Line [2014-2016],2015,"37,000 Kms",Diesel,Second,Mumbai,23.5 Lakh
4343,Volkswagen,Polo,GT TSI,2016,"6,805 Kms",Petrol,First,Mumbai,6.95 Lakh
4344,Toyota,Innova,2.8 GX AT 7 STR [2016-2020],2018,"1,00,600 Kms",Diesel,First,Mumbai,16.51 Lakh
4345,Toyota,Innova,2.5 VX 8 STR BS-III,2016,"76,000 Kms",Diesel,First,Bangalore,15 Lakh
4346,Maruti Suzuki,Swift DZire,VXI,2016,"66,000 Kms",Petrol,First,Mumbai,5.75 Lakh
4347,Ford,Ecosport,Trend 1.5 TDCi,2013,"65,000 Kms",Diesel,Second,Mumbai,5.25 Lakh
4348,Mercedes-Benz,GLC,220 d Sport,2017,"57,000 Kms",Diesel,First,Hyderabad,45 Lakh
4349,Maruti Suzuki,Swift,VDi,2014,"62,000 Kms",Diesel,Second,Kanpur,4.25 Lakh
4350,Mercedes-Benz,C-Class,220 CDI Avantgarde AT,2008,"1,02,859 Kms",Diesel,Third,Mumbai,6.51 Lakh
4351,Maruti Suzuki,Swift DZire,VDi,2009,"1,05,000 Kms",Diesel,Second,Raipur,2.2 Lakh
4352,Audi,A4,35 TDI Technology,2017,"41,000 Kms",Diesel,First,Hyderabad,35 Lakh
4353,Maruti Suzuki,Ertiga,LDI SHVS,2017,"44,063 Kms",Diesel,First,Mumbai,7.15 Lakh
4354,Ford,Ecosport,Titanium 1.5L TDCi,2018,"31,619 Kms",Diesel,First,Indore,8.95 Lakh
4355,Maruti Suzuki,Ignis,Zeta 1.3 AMT Diesel [2017-2018],2017,"23,150 Kms",Diesel,First,Kolkata,4.59 Lakh
4356,Ford,Endeavour,Trend 3.2 4x4 AT,2017,"32,000 Kms",Diesel,First,Delhi,25.5 Lakh
4357,Toyota,Innova,2.4 ZX 7 STR [2016-2020],2016,"45,000 Kms",Diesel,First,Kolkata,14.99 Lakh
4358,Maruti Suzuki,Swift DZire,VXi,2010,"60,000 Kms",Petrol,First,Mumbai,2.91 Lakh
4359,Tata,Hexa,XM 4x2 7 STR,2018,"77,000 Kms",Diesel,First,Bangalore,12.5 Lakh
4360,Maruti Suzuki,Alto 800,LXi CNG (O),2018,"32,000 Kms",CNG,First,Delhi,3.75 Lakh
4361,Maruti Suzuki,Ciaz,VDi [2014-2015],2015,"1,36,308 Kms",Diesel,First,Ghaziabad,4.5 Lakh
4362,Mercedes-Benz,C-Class,C 220d Progressive [2018-2019],2019,"11,500 Kms",Diesel,First,Ahmedabad,39.5 Lakh
4363,Audi,Q3,2.0 TDI quattro Premium,2013,"60,000 Kms",Diesel,First,Nashik,14.75 Lakh
4364,Nissan,Micra,XV Safety Pack,2016,"28,000 Kms",Petrol,First,Hyderabad,4.4 Lakh
4365,Mercedes-Benz,S-Class,350 CDI L,2014,"49,000 Kms",Diesel,First,Mumbai,46 Lakh
4366,Hyundai,Eon,D-Lite +,2015,"69,000 Kms",Petrol,First,Hyderabad,2.95 Lakh
4367,Hyundai,Creta,SX Plus 1.6 AT CRDI,2018,"65,000 Kms",Diesel,First,Delhi,11.5 Lakh
4368,BMW,5-Series,520d Sedan,2011,"73,000 Kms",Diesel,Second,Pune,13.7 Lakh
4369,Toyota,Innova,2.8 ZX AT 7 STR [2016-2020],2016,"74,440 Kms",Diesel,First,Navi Mumbai,17.9 Lakh
4370,Maruti Suzuki,Wagon R,VXI,2014,"13,785 Kms",Petrol,First,Delhi,3.39 Lakh
4371,Ford,Ecosport,Titanium + 1.5L Ti-VCT AT [2019-2020],2019,"68,000 Kms",Petrol,First,Hyderabad,9.65 Lakh
4372,MG,Hector,Sharp 1.5 DCT Petrol [2019-2020],2019,"10,000 Kms",Petrol,First,Thane,18.6 Lakh
4373,Hyundai,Creta,SX (O) 1.5 Petrol CVT,2020,"2,000 Kms",Petrol,First,Faridabad,17.99 Lakh
4374,Audi,A6,2.0 TDI Premium,2012,"55,000 Kms",Diesel,First,Kolkata,12.5 Lakh
4375,Hyundai,Creta,1.6 SX Plus AT Petrol,2019,"9,900 Kms",Petrol,First,Mumbai,15 Lakh
4376,Ford,Figo,Duratorq Diesel ZXI 1.4,2012,"62,121 Kms",Diesel,Second,Mumbai,2.05 Lakh
